flat_w,flat_f,spheres_s,spheres_m,spheres_l,cotton_s,cotton_m,cotton_l,jute_s,jute_m,jute_l,sand_s,sand_m,sand_l
0,0,0,4,11,4,0,0,2,0,9,0,0,2
1,0,0,0,0,0,4,0,4,7,0,3,0,0
0,0,5,6,0,4,4,0,0,0,0,21,0,0
0,0,0,7,0,0,0,0,0,5,0,0,0,22
0,0,0,0,7,2,0,0,0,0,0,4,0,17
0,0,0,0,0,0,0,0,4,0,7,9,0,0
0,0,0,1,1,7,0,0,1,0,6,0,0,0
1,0,0,4,0,0,0,0,0,0,11,0,0,5
3,0,3,4,0,8,0,0,2,0,2,0,0,0
0,1,0,0,0,12,0,0,0,0,0,0,0,9
0,0,3,0,7,0,0,0,0,0,0,0,0,0
0,0,0,0,13,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,0,1,0,0,13,0
1,0,0,13,0,3,0,0,0,0,0,0,0,0
0,0,0,4,8,2,0,0,6,1,0,0,0,31
0,3,6,0,2,0,0,0,0,1,4,0,0,16
0,0,0,0,0,0,0,0,0,0,0,7,8,0
0,0,3,0,0,0,0,0,0,0,0,0,22,0
0,0,0,0,29,0,0,0,2,0,0,23,0,19
0,0,0,5,0,0,0,0,0,0,0,8,0,0
0,0,0,11,12,7,0,0,1,0,0,3,20,0
0,0,0,0,0,0,0,0,2,0,10,2,4,0
0,0,8,0,0,0,0,0,0,0,0,0,0,7
0,0,6,1,5,0,0,0,3,0,0,0,2,5
0,0,0,0,21,4,0,0,0,0,10,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,18,0,0,0,0,0,0,12,5,2
0,0,2,0,0,1,0,0,0,3,1,1,0,0
0,0,0,0,0,0,0,0,1,0,7,5,0,18
0,0,0,0,0,0,0,0,0,0,1,0,9,0
0,0,0,0,24,1,0,0,0,0,0,0,0,17
3,0,0,0,0,0,0,0,0,0,6,0,0,9
0,0,0,0,0,0,0,0,0,0,0,2,0,15
0,0,0,0,0,6,2,0,0,5,0,0,0,6
0,0,6,0,19,8,0,0,0,0,0,0,19,1
0,0,0,0,0,1,0,0,0,11,0,0,0,3
0,0,0,0,0,3,0,0,0,9,0,0,5,0
1,0,0,0,0,0,0,0,5,4,0,0,2,0
0,0,0,0,4,0,0,0,0,0,0,0,0,37
0,0,9,0,0,0,0,0,3,0,0,0,33,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,6,0,0,0,0,0,2,2,3,0,5
0,0,0,20,11,0,1,0,0,0,0,3,8,18
2,0,0,0,0,0,2,0,0,0,3,0,15,14
0,0,0,0,24,0,0,0,1,0,0,0,4,0
0,0,0,4,24,6,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,1,4,0,13,0
0,1,0,2,0,0,0,0,0,0,0,0,0,5
0,0,0,6,0,2,0,0,0,0,0,4,9,6
0,0,0,9,10,0,0,0,0,0,0,19,0,0
0,1,2,4,0,0,0,0,0,2,1,0,0,0
0,0,0,5,3,1,0,0,0,3,1,0,0,0
2,0,0,7,17,0,0,0,0,0,0,2,2,0
0,0,1,12,8,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,10,1,5,0,0,0,6,0,0,0,21,4
0,0,1,0,0,0,0,0,0,0,2,0,0,14
1,0,3,2,4,0,1,0,0,0,2,12,0,0
0,0,0,2,13,1,0,0,0,14,0,0,0,0
0,0,0,16,0,0,0,0,5,0,0,6,1,7
0,0,0,17,7,0,0,0,1,0,0,0,4,0
0,0,0,0,0,0,1,0,0,0,9,0,0,0
3,0,2,0,5,0,1,0,4,0,0,0,0,15
0,0,0,0,15,0,0,0,0,3,1,3,6,8
0,0,1,5,9,0,0,0,1,0,3,0,6,30
0,0,8,0,0,1,0,0,0,0,0,0,1,13
0,0,0,0,0,1,0,0,0,0,3,1,0,0
2,0,0,0,0,0,0,0,0,1,1,0,3,1
0,0,1,1,1,1,0,0,0,7,0,0,0,0
0,0,0,0,18,0,0,0,6,0,0,0,7,0
1,2,0,8,16,0,0,0,0,0,0,0,0,9
0,0,5,10,0,0,2,0,0,0,0,0,20,10
0,0,4,0,13,0,0,0,0,6,0,3,0,9
0,0,0,19,19,0,0,0,3,5,0,0,16,15
0,0,0,0,30,0,0,0,0,0,0,5,0,41
0,0,0,0,4,1,0,0,6,1,3,0,0,19
0,0,0,0,5,18,0,0,5,0,0,1,0,29
0,1,0,19,0,1,0,0,0,0,3,0,12,13
2,0,0,0,6,1,0,0,0,0,3,0,4,13
0,0,0,21,12,0,0,0,0,0,0,0,5,0
0,0,0,9,0,0,0,0,0,0,0,4,0,13
2,0,0,0,0,0,0,0,0,1,0,0,12,3
0,0,0,0,0,0,0,0,6,0,0,1,0,6
0,0,0,14,11,0,0,0,0,0,0,0,0,7
0,0,4,9,13,4,0,0,0,0,0,0,0,36
0,0,0,0,4,2,0,0,0,0,1,6,0,11
7,0,0,0,1,0,0,0,7,7,13,8,0,1
0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,24
0,0,0,0,13,0,0,0,0,0,0,0,15,0
